ticker,ipo_date,board_note
BBRI,2003-11-10 00:00:00,UTAMA
BBRM,2013-01-09 00:00:00,PEMANTAUAN KHUSUS
BBTN,17 Des 2009,UTAMA
BBYB,2015-01-13 00:00:00,UTAMA
BCAP,2001-06-08 00:00:00,UTAMA
BCIC,1997-06-25 00:00:00,PENGEMBANGAN
BCIP,11 Des 2009,PENGEMBANGAN
BDMN,06 Des 1989,UTAMA
BEKS,2001-07-13 00:00:00,PEMANTAUAN KHUSUS
BEST,2012-04-10 00:00:00,UTAMA
BFIN,16 Mei 1990,UTAMA
BGTG,12 Mei 2016,UTAMA
BHIT,1997-11-24 00:00:00,PEMANTAUAN KHUSUS
BIKA,2015-07-14 00:00:00,PEMANTAUAN KHUSUS
BIMA,30 Agt 1994,PEMANTAUAN KHUSUS
BINA,2014-01-16 00:00:00,UTAMA
BIPI,2010-02-11 00:00:00,PENGEMBANGAN
BIPP,23 Okt 1995,PEMANTAUAN KHUSUS
BIRD,2014-11-05 00:00:00,UTAMA
BISI,28 Mei 2007,UTAMA
BJBR,2010-07-08 00:00:00,UTAMA
BJTM,2012-07-12 00:00:00,UTAMA
BKDP,2007-06-15 00:00:00,PEMANTAUAN KHUSUS
BKSL,1997-07-28 00:00:00,UTAMA
BKSW,2002-11-21 00:00:00,PENGEMBANGAN
BLTA,1990-03-26 00:00:00,PEMANTAUAN KHUSUS
BLTZ,2014-04-10 00:00:00,PEMANTAUAN KHUSUS
BMAS,2013-07-11 00:00:00,PENGEMBANGAN
BMRI,2003-07-14 00:00:00,UTAMA
BMSR,29 Des 1999,PENGEMBANGAN
BMTR,1995-07-17 00:00:00,UTAMA
BNBA,2006-06-01 00:00:00,PENGEMBANGAN
BNBR,28 Agt 1989,PEMANTAUAN KHUSUS
BNGA,1989-11-29 00:00:00,UTAMA
BNII,1989-11-21 00:00:00,UTAMA
BNLI,1990-01-15 00:00:00,UTAMA
BOLT,2015-07-07 00:00:00,PENGEMBANGAN
BPFI,2009-06-01 00:00:00,PENGEMBANGAN
BPII,2014-07-08 00:00:00,PENGEMBANGAN
BRAM,1990-09-05 00:00:00,PENGEMBANGAN
BRMS,09 Des 2010,UTAMA
BRNA,1989-11-06 00:00:00,PENGEMBANGAN
BRPT,01 Okt 1993,UTAMA
BSDE,2008-06-06 00:00:00,UTAMA
BSIM,13 Des 2010,UTAMA
BSSR,2012-11-08 00:00:00,PENGEMBANGAN
BSWD,01 Mei 2002,PEMANTAUAN KHUSUS
BTEK,14 Mei 2004,PEMANTAUAN KHUSUS
BTEL,2006-02-03 00:00:00,PEMANTAUAN KHUSUS
BTON,2001-07-18 00:00:00,PENGEMBANGAN
BTPN,2008-03-12 00:00:00,UTAMA
BUDI,08 Mei 1995,UTAMA
BUKK,2015-06-29 00:00:00,UTAMA
BULL,23 Mei 2011,PENGEMBANGAN
BUMI,1990-07-30 00:00:00,UTAMA
