Ticker,Period Type,Period End,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,EBIT,EBITDA,NetIncome,PretaxIncome,TaxProvision,InterestExpense,DilutedAverageShares,TotalAssets,TotalLiabilitiesNetMinorityInterest,StockholdersEquity,CashAndCashEquivalents,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,WorkingCapital,Inventory,AccountsReceivable,AccountsPayable,RetainedEarnings,InvestedCapital,OperatingCashFlow,CapitalExpenditure,FreeCashFlow
MOLI,quarterly,2024-12-31,,,,,,,,,,,,,,,,,591667000.0,,,,,,,,,,,
MOLI,quarterly,2025-03-31,,,,,,,,,,,2724036581.0,,,,,,0.0,,,,,,,,,,-8072221000.0,
MOLI,quarterly,2025-06-30,332243818000.0,238591826000.0,93651992000.0,30156730000.0,24842760000.0,27483783000.0,12461460000.0,19935398000.0,4264700000.0,4907362000.0,,1799095452000.0,421877419000.0,1183542169000.0,29413415000.0,282124086000.0,0.0,952813528000.0,352615113000.0,600198415000.0,389641528000.0,315155481000.0,35868733000.0,641018515000.0,1465666255000.0,,-5216092000.0,91792160000.0
MOLI,quarterly,2025-09-30,385098440000.0,271847825000.0,113250615000.0,36880378000.0,39549188000.0,42209942000.0,24945616000.0,37007497000.0,6901108000.0,2541691000.0,,1700803617000.0,293602181000.0,1208382384000.0,46534532000.0,130165128000.0,0.0,858995238000.0,222412026000.0,636583212000.0,415560516000.0,317045450000.0,56349240000.0,665964131000.0,1338547512000.0,,-12372349000.0,157473304000.0
MOLI,quarterly,2025-12-31,414582568000.0,275442584000.0,139139984000.0,64921774000.0,46495447000.0,49157439000.0,30641852000.0,45997965000.0,8784865000.0,497482000.0,,1614059668000.0,172026179000.0,1237124624000.0,68803819000.0,13255445000.0,0.0,805032679000.0,102496764000.0,702535915000.0,359214065000.0,333980989000.0,46057797000.0,696605983000.0,1250380069000.0,,,135005586000.0
MOLI,quarterly,2026-03-31,319166487000.0,215544382000.0,103622105000.0,43133802000.0,45427179000.0,48026889000.0,28716967000.0,45270803000.0,10835743000.0,156376000.0,2724036581.0,1645085210000.0,168786604000.0,1265696298000.0,107662157000.0,18267000.0,,843748393000.0,97868294000.0,745880099000.0,282122266000.0,274021526000.0,49005375000.0,725322950000.0,1265714565000.0,,-43838909000.0,22997853000.0
MOLI,quarterly,2026-06-30,411490152000.0,274446987000.0,137043165000.0,53231406000.0,60673773000.0,63244577000.0,34504647000.0,60670243000.0,19774118000.0,3530000.0,,1710495707000.0,219970192000.0,1280061228000.0,149125663000.0,0.0,,914016335000.0,147759275000.0,766257060000.0,215050004000.0,349630928000.0,62472663000.0,738833168000.0,1280061228000.0,,-12655485000.0,41481773000.0
