Ticker,Period Type,Period End,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,EBIT,EBITDA,NetIncome,PretaxIncome,TaxProvision,InterestExpense,DilutedAverageShares,TotalAssets,TotalLiabilitiesNetMinorityInterest,StockholdersEquity,CashAndCashEquivalents,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,WorkingCapital,Inventory,AccountsReceivable,AccountsPayable,RetainedEarnings,InvestedCapital,OperatingCashFlow,CapitalExpenditure,FreeCashFlow
BMRI,annual,2023-12-31,124193814000000.0,,,,,,55060057000000.0,74684881000000.0,14633011000000.0,30733842000000.0,93333333332.0,2174219449000000.0,1886724487000000.0,260852784000000.0,249396176000000.0,134256304000000.0,,,,,,,11145241000000.0,191923489000000.0,394114120000000.0,-69803958000000.0,-5021036000000.0,-74824994000000.0
BMRI,annual,2024-12-31,134799086000000.0,,,,,,55782742000000.0,76403486000000.0,15238365000000.0,41718486000000.0,93333333332.0,2427223262000000.0,2113748581000000.0,283796429000000.0,250733275000000.0,172099510000000.0,,,,,,,7568480000000.0,214670201000000.0,454279359000000.0,-79558278000000.0,-8543896000000.0,-88102174000000.0
BMRI,annual,2025-12-31,140173049000000.0,,,,,,56293950000000.0,76417563000000.0,15071430000000.0,49211664000000.0,93320458332.0,2829948026000000.0,2502546028000000.0,293750669000000.0,384905876000000.0,218797194000000.0,,,,,,,9463619000000.0,218129454000000.0,508518318000000.0,206540138000000.0,-7504327000000.0,199035811000000.0
GGRM,annual,2021-12-31,,,,,,,,,,,,,,,,,122667000000.0,,,,,,,,,,,
GGRM,annual,2022-12-31,124682692000000.0,113587089000000.0,11095603000000.0,3918100000000.0,3908926000000.0,4770944000000.0,2779739000000.0,3646521000000.0,866779000000.0,262405000000.0,1924088000.0,88562617000000.0,30706651000000.0,57855897000000.0,4407033000000.0,10136469000000.0,65385000000.0,55445127000000.0,29125010000000.0,26320117000000.0,41865435000000.0,2181496000000.0,1308958000000.0,56673532000000.0,67992366000000.0,,-5423876000000.0,4444108000000.0
GGRM,annual,2023-12-31,118952997000000.0,104357376000000.0,14595621000000.0,7433905000000.0,7439598000000.0,8348979000000.0,5324514000000.0,6860816000000.0,1536300000000.0,578782000000.0,1924088000.0,92450823000000.0,31587980000000.0,60862772000000.0,4256264000000.0,13395817000000.0,0.0,54115182000000.0,29536433000000.0,24578749000000.0,41259511000000.0,1952036000000.0,1064716000000.0,59680407000000.0,74258589000000.0,,-5698121000000.0,-1288858000000.0
GGRM,annual,2024-12-31,98655483000000.0,89275859000000.0,9379624000000.0,1870752000000.0,1903460000000.0,2779722000000.0,980805000000.0,1400554000000.0,419750000000.0,502906000000.0,1924088000.0,84939276000000.0,23022685000000.0,61916521000000.0,3705754000000.0,9375398000000.0,,47590906000000.0,20824215000000.0,26766691000000.0,38097173000000.0,1840880000000.0,1127437000000.0,60734156000000.0,71291919000000.0,,-3185010000000.0,3342061000000.0
GGRM,annual,2025-12-31,89369758000000.0,80385284000000.0,8984474000000.0,2819934000000.0,2831757000000.0,3643189000000.0,1556533000000.0,2553545000000.0,993959000000.0,278212000000.0,1924088000.0,75251653000000.0,12680816000000.0,62567714000000.0,3613292000000.0,761931000000.0,,39438262000000.0,10724952000000.0,28713310000000.0,31615003000000.0,1923276000000.0,682560000000.0,61385349000000.0,63329645000000.0,,-2477544000000.0,9128322000000.0
ITMG,annual,2022-12-31,65117302404000.0,31192530468000.0,33924771936000.0,30132860384000.0,27713292596000.0,28108056548000.0,21490871468000.0,27664135136000.0,6186264876000.0,49157460000.0,1123767000.0,47280289716000.0,12354675476000.0,35011178664000.0,25614295916000.0,892713800000.0,228989596000.0,34178223860000.0,10487157604000.0,23691066256000.0,1720779720000.0,5022871656000.0,2583694608000.0,26895237248000.0,35477359720000.0,,-795043568000.0,22941509008000.0
ITMG,annual,2023-12-31,42519233020000.0,29221790884000.0,13297442136000.0,10763657124000.0,11570502064000.0,11909482596000.0,8959927548000.0,11534757696000.0,2587562736000.0,35744368000.0,1129925000.0,39179964076000.0,7150789756000.0,32011964732000.0,15242376292000.0,964739776000.0,136494776000.0,22919947776000.0,5269500632000.0,17650447144000.0,1754464668000.0,3535916692000.0,1969002508000.0,23780122740000.0,32870707056000.0,,-1445497944000.0,2512958008000.0
