Ticker,Name,Sector,Business Type,Price,Quality Score,Safety Score,Value Score,Composite Score,F-Score,Altman Z,Earnings Yield (EBIT/EV),ROC (Greenblatt),Acquirers Multiple,Net-Net Pass,NCAV per Share,EPV per Share,IV Bear,IV Base,IV Bull,MOS Bear,MOS Base,MOS Bull,Blended IV,MOS Blended,Upside Blended,Verdict,Reasons,Red Flags,Comparables IV,Justified PB IV,Quarters Stale,Latest Filing,Peer Group,Peer Count,Peer PE Median,Peer EV/EBIT Median,Peer PB Median
AMIN,Ateliers Mecaniques D Indonesia Tbk.,Industrials,Cyclical,248.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Industrials | Industrial Goods | Machinery,4,14.416005681359687,9.823816834611925,1.0469873784900932
AMMN,Amman Mineral Internasional Tbk.,Basic Materials,Cyclical,4470.0,50.0,62.7,18.8,43.8,3,2.888888936146075,0.05632969938324397,0.08356576340301802,17.752624476058603,False,-1304.9985580076957,,,,,,,,1351.4982743420946,-1.0,-0.6976513927646321,SKIP,MOS -100% below watch threshold 10%,Net debt/EBITDA 5.6x,1351.4982743420946,,1.45,2026-03-31,Basic Materials | Metals & Minerals,19,12.449518149274448,8.573447831556207,2.228715086990508
AMMS,Agung Menjangan Mas Tbk.,Basic Materials,Cyclical,210.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Basic Materials | Chemicals | Basic Chemicals | Basic Chemicals,8,8.598946032361429,6.137238035447713,1.0540245818465046
AMOR,Ashmore Asset Management Indonesia Tbk.,Financials,Financial,362.0,60.0,81.5,42.5,61.3,4,6.864875346924488,0.16339591447431315,0.47265340086087343,6.120104062682707,False,44.52911187724041,502.6152010570103,266.5131310290999,397.5667369444406,540.6039086123433,-0.35828204262278596,0.08946104801874058,0.33037850035305,313.89939289856136,-0.15323574428505718,-0.13287460525259298,SKIP,MOS -15% below watch threshold 10%,,405.5117715108959,222.28701428622682,1.45,2026-03-31,Financials | Investment Service | Investment Services,6,21.010299838295108,8.82707394421313,2.9306073595903257
AMRT,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals,Compounder,1410.0,76.7,83.3,49.2,69.7,6,2.9346480285409395,0.0925638637514414,0.25566501494741584,10.80335197205322,False,-47.55621244618138,712.9338778774344,691.6254418096502,1078.2146905510772,1490.127763755198,-1.0386757264317954,-0.3077172963385862,0.05377241180532864,951.5401012620852,-0.4818082791569496,-0.32514886435313106,SKIP,MOS -48% below watch threshold 10%,,1082.909471138209,,0.45,2026-06-30,Consumer Non-Cyclicals | Food & Staples Retailing | Food & Staples Retailing,4,10.545593888966863,18.205370389227188,2.499822564270242
ANDI,Andira Agro Tbk.,Consumer Non-Cyclicals,Ordinary,18.0,16.7,28.9,20.0,21.9,5,-2.0484143205996816,-0.08365652753124844,-0.09835439016930858,-11.953639835534261,False,-15.154233510467456,,,,,,,,18.58907621640205,0.03168937549905132,0.03272645646678041,SKIP,MOS 3% below watch threshold 10%,Interest coverage -2.5x,18.58907621640205,,1.45,2026-03-31,Consumer Non-Cyclicals | Food & Beverage | Agricultural Products | Plantations & Crops,26,8.531657563897525,6.89544177076508,1.5596099814498379
ANJT,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals,Ordinary,1480.0,30.0,70.4,60.0,53.5,6,4.710402943331189,-0.026042397629708745,-0.034823946305132164,-38.39892218138994,False,151.43752222973836,632.2913319696122,118.42638526174316,270.0929596282888,434.7315811290907,-11.497215014449182,-4.4795948848012435,-2.4043995519168955,823.5870340138197,-0.7970171200815259,-0.4435222743149867,SKIP,MOS -80% below watch threshold 10%,Interest coverage -2.3x,1976.9915358925593,,0.45,2026-06-30,Consumer Non-Cyclicals | Food & Beverage | Agricultural Products | Plantations & Crops,26,8.531657563897525,6.89544177076508,1.5596099814498379
ANTM,Aneka Tambang Tbk.,Basic Materials,Cyclical,3210.0,80.0,92.6,68.8,80.5,7,5.952347513574868,0.1697019621242581,0.33985995381589107,5.8926837820990325,False,429.31851271937387,1543.3815248268218,1682.3354514657146,2670.5456482610944,3714.2298227636734,-0.9080617942178689,-0.2020015467963138,0.1357562258730903,2757.017377320213,-0.16430169298391595,-0.14111608183170932,SKIP,MOS -16% below watch threshold 10%,Trailing EBIT 2.5x mid-cycle - possible peak earnings,4837.391617515277,,1.45,2026-03-31,Basic Materials | Metals & Minerals | Diversified Metals & Minerals | Diversified Metals & Minerals,9,12.449518149274448,9.956241790640217,2.128841754446317
APEX,Apexindo Pratama Duta Tbk.,Energy,Cyclical,180.0,38.3,50.6,96.2,61.7,7,0.18918280344766059,0.23176785047595475,0.03838562266342575,4.314662270657539,False,-586.4835767827564,,,,,,,,380.4033993957542,0.5268181086553954,1.1133522188653013,WATCH,"Cheap and sound, but flagged: Net debt/EBITDA 11.2x",Net debt/EBITDA 11.2x; Trailing EBIT 2.0x mid-cycle - possible peak earnings,380.4033993957542,,1.45,2026-03-31,"Energy | Oil, Gas & Coal",46,11.982005135072832,7.5596857632517,1.338538736096911
APIC,Pacific Strategic Financial Tbk.,Financials,Financial,590.0,25.0,65.2,17.5,35.9,5,3.108940025253693,0.052581063780576524,0.09299420975882935,19.01825349470013,False,19.666849655540958,54.072732436513895,4.080674267529891,75.05695263647426,152.42858151276351,-143.5839489553618,-6.860697500704109,-2.8706651609862073,216.43041420704947,-1.0,-0.6331687894795772,SKIP,MOS -100% below watch threshold 10%,,263.10301303417253,169.75781537992637,1.45,2026-03-31,Financials | Holding & Investment Companies | Investment Companies | Investment Companies,13,14.566398170997925,15.07996983497698,0.7997799244128763
