Ticker,Name,IPO Date,Outstanding Shares,Note,Price,Volume,Change,Percentage Change,Average,Close Price,High Price,Open Price,Low Price,ARA Price,ARB Price,Frequency,Frequency Sell,Frequency Buy,52W High,52W Low,Pct From 52W High,1Y Price Change,Currency,Fetched At
AALI,Astra Agro Lestari Tbk.,09 Des 1997,1924688333,UTAMA,7325.0,948300,175.0,2.4475523999999997,7150.0,7325.0,7325.0,7150.0,7150.0,,,,,,9000.0,5825.0,-0.18611111111111112,0.07326007326007326,IDR,2026-08-10T01:52:49
ABBA,Mahaka Media Tbk.,2002-04-03 00:00:00,3935892857,PEMANTAUAN KHUSUS,30.0,153000,0.0,0,30.0,30.0,30.0,30.0,30.0,,,,,,97.0,29.0,-0.6907216494845361,-0.1891891891891892,IDR,2026-08-10T01:52:49
ADRO,Alamtri Resources Indonesia Tbk.,2008-07-16 00:00:00,28800494200,UTAMA,2540.0,14412400,40.0,1.6,2500.0,2540.0,2540.0,2500.0,2500.0,,,,,,2700.0,1625.0,-0.05925925925925926,0.3582887700534759,IDR,2026-08-10T01:52:49
ASII,Astra International Tbk.,1990-04-04 00:00:00,39920061040,UTAMA,5100.0,34507300,0.0,0,5100.0,5100.0,5175.0,5050.0,5025.0,,,,,,7475.0,4350.0,-0.3177257525083612,0.028225806451612902,IDR,2026-08-10T01:52:49
BBCA,Bank Central Asia Tbk.,31 Mei 2000,122841751300,UTAMA,6375.0,111930800,25.0,0.39370079999999996,6350.0,6375.0,6450.0,6375.0,6325.0,,,,,,8975.0,4820.0,-0.28969359331476324,-0.2319277108433735,IDR,2026-08-10T01:52:49
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,2003-11-10 00:00:00,150574927703,UTAMA,3130.0,349136300,90.0,2.9605264,3040.0,3130.0,3130.0,3050.0,3040.0,,,,,,4270.0,2540.0,-0.26697892271662765,-0.15633423180592992,IDR,2026-08-10T01:52:49
BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14 00:00:00,92487999999,UTAMA,4240.0,110106100,40.0,0.952381,4200.0,4240.0,4270.0,4220.0,4210.0,,,,,,5375.0,3650.0,-0.2111627906976744,-0.09401709401709402,IDR,2026-08-10T01:52:49
GGRM,Gudang Garam Tbk.,27 Agt 1990,1924088000,UTAMA,21725.0,2861200,1125.0,5.461164999999999,20600.0,21725.0,21800.0,20750.0,20725.0,,,,,,21800.0,8300.0,-0.0034403669724770644,1.4757834757834758,IDR,2026-08-10T01:52:49
ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1114899100,UTAMA,25125.0,1191200,425.0,1.7206477000000002,24700.0,25125.0,25150.0,24700.0,24650.0,,,,,,30700.0,20900.0,-0.18159609120521172,0.08648648648648649,IDR,2026-08-10T01:52:49
PTBA,Bukit Asam Tbk.,23 Des 2002,11514357245,UTAMA,2370.0,9940400,20.0,0.8510637999999999,2350.0,2370.0,2370.0,2360.0,2350.0,,,,,,3220.0,2170.0,-0.2639751552795031,-0.0125,IDR,2026-08-10T01:52:49
TLKM,Telkom Indonesia (Persero) Tbk.,1995-11-14 00:00:00,98580940799,UTAMA,2710.0,66412400,60.0,2.2641511999999997,2650.0,2710.0,2720.0,2650.0,2650.0,,,,,,3990.0,2350.0,-0.3208020050125313,-0.08135593220338982,IDR,2026-08-10T01:52:49
UNVR,Unilever Indonesia Tbk.,1982-01-11 00:00:00,37981233300,UTAMA,1820.0,12769600,15.0,0.8310249000000001,1805.0,1820.0,1825.0,1805.0,1800.0,,,,,,2840.0,1485.0,-0.3591549295774648,0.031161473087818695,IDR,2026-08-10T01:52:49
