Ticker,PBV x ROE,Close Price,Price to Equity Discount (%),Relative PE ratio (TTM),EPS Growth,Debt to Total Assets Ratio,Liquidity Differential,CCE,Operating Efficiency,Dividend Payout Efficiency,Yearly Price Change,Composite Rank,Net Debt to Equity
AADI,0.247409231408752,9225.0,-13.382598583854561,0.4180108305036267,,0.14538953108187125,2.095269816260803,0.1581912762475478,0.19680384450369282,0.5848102975335973,0.28125,0.711,-0.021298500202908646
AALI,0.0472993630024902,7350.0,69.64025638952498,0.5700337937215295,1.6187660631262815,0.0,3.332303029807308,0.17845569117774424,0.11482607980471395,0.4577886348627899,0.024390243902439025,0.8467,-0.21456857608251323
ABBA,-4.961360303280378,30.0,-79.06625527078715,-0.35687746055586583,-0.4432369594306376,0.436842743086351,0.4538655523315693,0.07902691556220824,-0.23465281570299787,0.0,-0.16666666666666666,0.2828,3.3476497947418205
ABDA,0.11297978149753338,3850.0,-24.725208476903543,1.2120314303605504,1.2836838450524488,,,0.1541680494256179,,0.0,0.1323529411764706,0.5085,-0.2436256283810645
ABMM,0.039158301631940014,2720.0,112.45343542677088,0.43899782816963145,0.16339096742266396,0.4484450122184523,1.1380277590596588,0.10413454146575594,0.021902082412758945,0.20176761785248173,-0.0903010033444816,0.5891,0.7971054593790299
ACES,0.11035017036020774,358.0,3.833820523928323,0.6521733669336495,0.6015393119644639,0.11202831409393733,4.944733905959171,0.13217545089773988,0.06019696290649143,0.751539776914077,-0.24789915966386555,0.6073,-0.027943924531453255
ACRO,,62.0,,,,,,,,,-0.11428571428571428,0.2,
ACST,-3.28131829721139,84.0,-142.79647617621129,-0.1291068701608867,,0.6697014560202589,0.7354716036463124,0.14182526685370683,-0.15156981851836193,0.0,-0.045454545454545456,0.5564,-2.32595588640316
ADCP,-13.418466004187245,50.0,-62.4055921272133,-0.0409132865204501,,0.2249081516640334,0.9230500157428769,0.005579280501045669,-1.2739565444252414,0.0,0.0,0.3496,2.652493232280479
ADES,1.5792010057904782,35000.0,-82.89808060101983,1.6799123113073144,0.8787907803843786,1.6083730984434626e-06,3.3847094521844108,0.21838168256045645,0.29072714270442823,0.0,1.3450586264656617,0.475,-0.2691753360093052
ADHI,-0.8121624051339756,148.0,130.96970662799947,-0.017908565831156114,,0.2923008957807342,1.0105731794713972,0.02953802360513343,-0.030977709123667287,0.0,-0.475177304964539,0.4476,2.5167210798947983
ADMF,0.09096954529796852,8650.0,45.89149210706115,0.4007354651634237,0.658344566569888,0.5067647043895884,1.3190499848277821,0.036035334307740925,0.20211670198159723,0.37615642644546715,-0.04419889502762431,0.6194,1.1749658500717644
ADMG,0.010342755721751458,264.0,106.4224654623244,1.7606115480354865,2.70188667333503,3.196701757255211e-06,1.4800239681214813,0.09778322306651345,0.03632492297589727,0.0,1.112,0.4679,-0.1491255461943305
ADMR,0.3989849951958656,1610.0,-55.13109747238594,0.9659758702122598,-0.1539373341791259,0.2997432529816034,2.0022782510150274,0.1572913969471126,0.41355036244210086,0.39142522280513825,0.45045045045045046,0.4805,0.2768870490174023
ADRO,0.07624807164387604,2530.0,20.326424589118368,0.7028503192357493,-0.34983890199660045,0.14746119273825664,4.320731221105315,0.16123693910776074,0.3107208460305157,0.8468304391117906,0.39779005524861877,0.6447,-0.020217646485717396
AEGS,,42.0,,,,,,,,,-0.23636363636363636,0.0225,
AGAR,,1100.0,,,,,,,,,3.230769230769231,0.5102,
AGII,0.06372086739729348,2950.0,-58.14866045662638,6.952057094936515,1.0204741379310345,0.466038769220981,1.815379303194789,0.07450455919258527,0.14134527036192435,0.34685158446982833,2.241758241758242,0.4206,0.8711997935630007
